pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,Fixation.stopped,Probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,23.27962369984016,24.207508699968457,24.207508699968457,24.207508699968457,24.207508699968457,24.28665110003203,25.21863180003129,25.21863180003129,x,1,0.8599402999971062,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,0,1,1,1,,,,,26.115995900006965,27.103793599875644,27.103793599875644,27.103793599875644,27.103793599875644,27.13091930001974,28.098996500018984,28.098996500018984,v,1,0.48442719993181527,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,0,2,2,2,,,,,28.613278199918568,29.612147599924356,29.612147599924356,29.612147599924356,29.612147599924356,29.62839259998873,30.61061459989287,30.61061459989287,c,1,0.598300299840048,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,0,3,3,3,,,,,31.2260175999254,32.22491929982789,32.22491929982789,32.22491929982789,32.22491929982789,32.241346899885684,33.22416460001841,33.22416460001841,z,1,0.4409760998096317,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,1,0,4,0,,,,,33.68912019999698,34.68808629992418,34.68808629992418,34.68808629992418,34.68808629992418,34.704275199910626,35.685720399953425,35.685720399953425,x,1,0.7701258000452071,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,1,1,5,1,,,,,36.48465360002592,37.48323979997076,37.48323979997076,37.48323979997076,37.48323979997076,37.49982100003399,38.496658799936995,38.496658799936995,v,1,0.35099299997091293,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,1,2,6,2,,,,,38.87903289985843,39.86305869999342,39.86305869999342,39.86305869999342,39.86305869999342,39.87927319994196,40.86119049997069,40.86119049997069,c,1,0.5000239000655711,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,1,3,7,3,,,,,41.39373250002973,42.39204859989695,42.39204859989695,42.39204859989695,42.39204859989695,42.40873869997449,43.390414600027725,43.390414600027725,z,1,0.23207169980742037,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,2,0,8,0,,,,,43.64015739993192,44.63902929984033,44.63902929984033,44.63902929984033,44.63902929984033,44.655139500042424,45.63711309991777,45.63711309991777,x,1,0.2846349000465125,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,2,1,9,1,,,,,45.95323089999147,46.951105599990115,46.951105599990115,46.951105599990115,46.951105599990115,46.96744739986025,47.951414099894464,47.951414099894464,v,1,0.2986091999337077,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,2,2,10,2,,,,,48.26668889983557,49.26512119988911,49.26512119988911,49.26512119988911,49.26512119988911,49.26512119988911,50.26313770003617,50.26313770003617,c,1,0.2567753999028355,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,2,3,11,3,,,,,50.545903499936685,51.54458749992773,51.54458749992773,51.54458749992773,51.54458749992773,51.54458749992773,52.543624999932945,52.543624999932945,z,1,0.23783749993890524,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,3,0,12,0,,,,,52.80981109989807,53.807732299901545,53.807732299901545,53.807732299901545,53.807732299901545,53.82413599989377,54.80608049989678,54.80608049989678,x,1,0.2774135998915881,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,3,1,13,1,,,,,55.10474319988862,56.104318799916655,56.104318799916655,56.104318799916655,56.104318799916655,56.104318799916655,57.10266519989818,57.10266519989818,v,1,0.21129900007508695,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,3,2,14,2,,,,,57.335498200031,58.33439849992283,58.33439849992283,58.33439849992283,58.33439849992283,58.351052899844944,59.33271089987829,59.33271089987829,c,1,0.19905229983851314,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,3,3,15,3,,,,,59.54988699988462,60.547488200012594,60.547488200012594,60.547488200012594,60.547488200012594,60.563914499944076,61.54567179991864,61.54567179991864,z,1,0.1632103999145329,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,4,0,16,0,,,,,61.72854339983314,62.7273854999803,62.7273854999803,62.7273854999803,62.7273854999803,62.7273854999803,63.72583469981328,63.72583469981328,x,1,0.2613355000503361,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
150,v,4,1,17,1,,,,,64.00873879995197,65.00655469996855,65.00655469996855,65.00655469996855,65.00655469996855,65.02307949983515,66.00479299994186,66.00479299994186,v,1,0.29892680002376437,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
50,c,4,2,18,2,,,,,66.32177549996413,67.32030579983257,67.32030579983257,67.32030579983257,67.32030579983257,67.33693480002694,68.31865999987349,68.31865999987349,c,1,0.40769190015271306,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-150,z,4,3,19,3,,,,,68.75162049988285,69.75076960003935,69.75076960003935,69.75076960003935,69.75076960003935,69.76656299992464,70.74726539989933,70.74726539989933,z,1,0.30353050003759563,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
-50,x,5,0,20,0,,,,,71.07999859983101,72.07973739993758,72.07973739993758,72.07973739993758,72.07973739993758,72.07973739993758,73.07890799990855,73.07890799990855,x,1,0.28430719999596477,833309,001,2022-09-30_11h50.35.106,Motor Sequence Learning,2022.2.2,60.41259381350777,
